Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
45,"Sunday, May 21",boxscore,SFG,@,STL,L,3,8,,19-26,4,9,Wainwright,Cain,,2:53,D,"47,533",-
46,"Monday, May 22",boxscore,SFG,@,CHC,W,6,4,,20-26,4,9,Blach,Lackey,Melancon,2:59,N,"36,204",+
47,"Tuesday, May 23",boxscore,SFG,@,CHC,L,1,4,,20-27,4,10,Lester,Cueto,,2:05,N,"32,905",-
48,"Wednesday, May 24",boxscore,SFG,@,CHC,L,4,5,,20-28,4,11,Hendricks,Moore,Davis,3:05,N,"35,617",--
49,"Thursday, May 25",boxscore,SFG,@,CHC,L,1,5,,20-29,4,11,Butler,Samardzija,Montgomery,2:33,D,"37,513",---
50,"Friday, May 26",boxscore,SFG,,ATL,L,0,2,,20-30,4,12,Garcia,Cain,Johnson,2:40,N,"41,326",----
51,"Saturday, May 27",boxscore,SFG,,ATL,W,6,3,,21-30,4,11,Blach,Foltynewicz,Melancon,2:31,N,"41,355",+
52,"Sunday, May 28",boxscore,SFG,,ATL,W,7,1,,22-30,4,11,Cueto,Dickey,,2:29,D,"42,343",++
53,"Monday, May 29",boxscore,SFG,,WSN,L,0,3,,22-31,4,11,Roark,Moore,Glover,3:03,D,"41,969",-
54,"Tuesday, May 30",boxscore,SFG,,WSN,L,3,6,,22-32,4,11.5,Gonzalez,Samardzija,Glover,3:32,N,"41,266",--
55,"Wednesday, May 31",boxscore,SFG,,WSN,L,1,3,,22-33,4,11.5,Scherzer,Cain,,2:45,N,"41,371",---
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
56,"Friday, Jun 2",boxscore,SFG,@,PHI,W,10,0,,23-33,4,11,Blach,Eickhoff,,2:55,N,"22,491",+
57,"Saturday, Jun 3",boxscore,SFG,@,PHI,L,3,5,,23-34,4,12,Lively,Cueto,Gomez,2:50,D,"32,413",-
