Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
15,"Tuesday, Apr 18",boxscore,ARI,@,SDP,W,11,2,,10-5,1,Tied,Miller,Cosart,,3:20,N,"19,869",+++
16,"Wednesday, Apr 19",boxscore,ARI,@,SDP,L,0,1,,10-6,1,Tied,Chacin,Greinke,Maurer,2:13,N,"17,089",-
17,"Thursday, Apr 20",boxscore,ARI,@,SDP,L,1,4,,10-7,2,0.5,Richard,Corbin,Maurer,2:24,N,"17,831",--
18,"Friday, Apr 21",boxscore,ARI,,LAD,W,13,5,,11-7,2,0.5,Bradley,Stripling,,3:28,N,"27,018",+
19,"Saturday, Apr 22",boxscore,ARI,,LAD,W,11,5,,12-7,2,0.5,Ray,Maeda,,3:20,N,"36,294",++
20,"Sunday, Apr 23",boxscore,ARI,,LAD,L,2,6,,12-8,2,1.5,McCarthy,Miller,,2:54,D,"28,704",-
21,"Monday, Apr 24",boxscore,ARI,,SDP,W,7,6,,13-8,2,1.5,Greinke,Chacin,Rodney,3:05,N,"14,758",+
22,"Tuesday, Apr 25",boxscore,ARI,,SDP,W,9,3,,14-8,2,0.5,Corbin,Richard,,3:02,N,"17,531",++
23,"Wednesday, Apr 26",boxscore,ARI,,SDP,L,5,8,,14-9,2,0.5,Buchter,Rodney,Maurer,3:14,N,"12,215",-
24,"Thursday, Apr 27",boxscore,ARI,,SDP,W,6,2,,15-9,1,up 0.5,Walker,Weaver,,2:21,N,"15,452",+
25,"Friday, Apr 28",boxscore,ARI,,COL,L,1,3,,15-10,2,0.5,Freeland,Ray,Holland,2:53,N,"19,300",-
26,"Saturday, Apr 29",boxscore,ARI,,COL,L,6,7,,15-11,2,1.5,Estevez,Rodney,Holland,3:38,N,"30,445",--
27,"Sunday, Apr 30",boxscore,ARI,,COL,W-wo,2,0,13,16-11,2,0.5,Delgado,Lyles,,4:02,D,"23,613",+
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
28,"Tuesday, May 2",boxscore,ARI,@,WSN,W,6,3,,17-11,1,up 0.5,McFarland,Roark,Rodney,3:48,N,"22,826",++
29,"Wednesday, May 3",boxscore,ARI,@,WSN,L,1,2,,17-12,2,0.5,Turner,Ray,,2:52,N,"23,816",-
30,"Thursday, May 4",boxscore,ARI,@,WSN,L,2,4,,17-13,2,1.5,Scherzer,Shipley,Romero,3:18,D,"29,496",--
31,"Friday, May 5",boxscore,ARI,@,COL,W,6,3,,18-13,2,0.5,Greinke,Marquez,Rodney,2:56,N,"30,030",+
32,"Saturday, May 6",boxscore,ARI,@,COL,L,1,9,,18-14,2,1.5,Anderson,Corbin,Rusin,3:04,N,"36,165",-
33,"Sunday, May 7",boxscore,ARI,@,COL,L,2,5,,18-15,2,2.5,Chatwood,Walker,Holland,2:35,D,"39,175",--
34,"Tuesday, May 9",boxscore,ARI,,DET,L,3,7,,18-16,3,3,Verlander,Ray,,3:22,N,"20,445",---
35,"Wednesday, May 10",boxscore,ARI,,DET,W,7,1,,19-16,3,3,Godley,Boyd,,2:37,N,"18,897",+
36,"Thursday, May 11",boxscore,ARI,,PIT,W,2,1,,20-16,3,3,Greinke,Cole,Rodney,2:34,N,"17,527",++
37,"Friday, May 12",boxscore,ARI,,PIT,W,11,4,,21-16,3,2,Corbin,Glasnow,,2:57,N,"21,911",+++
38,"Saturday, May 13",boxscore,ARI,,PIT,L,3,4,,21-17,3,2,Williams,Walker,Watson,3:00,N,"31,673",-
39,"Sunday, May 14",boxscore,ARI,,PIT,L,4,6,10,21-18,3,3,Watson,Wilhelmsen,,4:08,D,"34,088",--
40,"Monday, May 15",boxscore,ARI,,NYM,W,7,3,,22-18,3,2.5,De La Rosa,Robles,,3:02,N,"15,988",+
41,"Tuesday, May 16",boxscore,ARI,,NYM,W,5,4,,23-18,2,2.5,Greinke,Milone,Rodney,2:52,N,"17,471",++
42,"Wednesday, May 17",boxscore,ARI,,NYM,W-wo,5,4,11,24-18,2,2,Wilhelmsen,Montero,,3:30,D,"19,842",+++
43,"Friday, May 19",boxscore,ARI,@,SDP,W,10,1,,25-18,2,2,Walker,Weaver,Delgado,3:12,N,"22,187",++++
44,"Saturday, May 20",boxscore,ARI,@,SDP,W,9,1,,26-18,2,1,Ray,Perdomo,,2:56,N,"29,969",+++++
45,"Sunday, May 21",boxscore,ARI,@,SDP,L,1,5,,26-19,2,2,Richard,Godley,,2:16,D,"27,198",-
46,"Monday, May 22",boxscore,ARI,,CHW,W,5,1,,27-19,2,2,Greinke,Gonzalez,,2:39,N,"18,333",+
47,"Tuesday, May 23",boxscore,ARI,,CHW,W,5,4,,28-19,2,2,Corbin,Covey,Rodney,2:56,N,"17,865",++
48,"Wednesday, May 24",boxscore,ARI,,CHW,W,8,6,,29-19,2,2,Chafin,Quintana,Rodney,3:02,D,"18,002",+++
49,"Thursday, May 25",boxscore,ARI,@,MIL,W,4,0,,30-19,2,1,Ray,Davies,,2:45,N,"30,081",++++
50,"Friday, May 26",boxscore,ARI,@,MIL,W,4,2,10,31-19,2,1,McFarland,Peralta,Rodney,3:24,N,"25,391",+++++
51,"Saturday, May 27",boxscore,ARI,@,MIL,L,1,6,,31-20,2,1,Anderson,Greinke,,2:52,D,"29,746",-
52,"Sunday, May 28",boxscore,ARI,@,MIL,L,5,9,,31-21,3,2,Nelson,Corbin,Barnes,3:08,D,"41,698",--
53,"Monday, May 29",boxscore,ARI,@,PIT,L-wo,3,4,,31-22,3,2,Watson,Bradley,,3:02,D,"16,939",---
54,"Tuesday, May 30",boxscore,ARI,@,PIT,W,3,0,,32-22,3,1.5,Ray,Nova,,2:10,N,"14,996",+
