Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
44,"Saturday, May 20",boxscore,TOR,@,BAL,L,5,7,,18-26,5,8.5,Givens,Barnes,Brach,3:22,N,"45,416",--
45,"Sunday, May 21",boxscore,TOR,@,BAL,W,3,1,,19-26,5,8,Estrada,Miley,Osuna,2:31,D,"36,632",+
46,"Tuesday, May 23",boxscore,TOR,@,MIL,W,4,3,,20-26,5,7.5,Barnes,Nelson,Osuna,3:02,N,"30,742",++
47,"Wednesday, May 24",boxscore,TOR,@,MIL,W,8,4,,21-26,5,7.5,Stroman,Garza,,2:51,D,"26,607",+++
48,"Friday, May 26",boxscore,TOR,,TEX,W,7,6,,22-26,5,6.5,Loup,Griffin,Osuna,3:30,N,"40,754",++++
49,"Saturday, May 27",boxscore,TOR,,TEX,W,3,1,,23-26,5,6.5,Estrada,Darvish,Osuna,3:16,D,"46,825",+++++
50,"Sunday, May 28",boxscore,TOR,,TEX,L,1,3,,23-27,5,7.5,Cashner,Biagini,Bush,2:53,D,"46,188",-
51,"Monday, May 29",boxscore,TOR,,CIN,W,17,2,,24-27,5,6.5,Stroman,Bonilla,,3:06,N,"29,844",+
52,"Tuesday, May 30",boxscore,TOR,,CIN,W,6,4,,25-27,5,6.5,Smith,Wood,Osuna,2:53,N,"32,747",++
53,"Wednesday, May 31",boxscore,TOR,,CIN,W,5,4,,26-27,5,5.5,Grilli,Peralta,Osuna,2:53,D,"44,058",+++
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
54,"Thursday, Jun 1",boxscore,TOR,,NYY,L,2,12,,26-28,5,6.5,Sabathia,Estrada,,3:10,N,"37,722",-
55,"Friday, Jun 2",boxscore,TOR,,NYY,W,7,5,,27-28,5,5.5,Liriano,Pineda,Osuna,3:13,N,"44,261",+
56,"Saturday, Jun 3",boxscore,TOR,,NYY,L,0,7,,27-29,5,6.5,Montgomery,Biagini,,3:00,D,"47,226",-
57,"Sunday, Jun 4",boxscore,TOR,,NYY,W,3,2,,28-29,4,5.5,Smith,Clippard,Osuna,2:27,D,"46,782",+
58,"Monday, Jun 5",boxscore,TOR,@,OAK,L,3,5,,28-30,5,6,Manaea,Happ,Casilla,3:05,N,"12,890",-
59,"Tuesday, Jun 6",boxscore,TOR,@,OAK,L,1,4,,28-31,5,6,Hahn,Estrada,Casilla,2:45,N,"16,643",--
60,"Wednesday, Jun 7",boxscore,TOR,@,OAK,W,7,5,10,29-31,5,6,Tepera,Montas,Osuna,3:20,D,"15,076",+
61,"Friday, Jun 9",boxscore,TOR,@,SEA,L,2,4,,29-32,5,7.5,Cloyd,Biagini,Diaz,2:53,N,"33,518",-
62,"Saturday, Jun 10",boxscore,TOR,@,SEA,W,4,2,,30-32,5,7.5,Stroman,Zych,Osuna,2:44,N,"45,480",+
63,"Sunday, Jun 11",boxscore,TOR,@,SEA,W,4,0,,31-32,5,7.5,Happ,Paxton,Osuna,3:01,D,"41,137",++
64,"Tuesday, Jun 13",boxscore,TOR,,TBR,L,1,8,,31-33,5,8,Faria,Estrada,,3:15,N,"39,404",-
65,"Wednesday, Jun 14",boxscore,TOR,,TBR,W,7,6,,32-33,5,7,Smith,Alvarado,Osuna,3:07,N,"37,734",+
66,"Friday, Jun 16",boxscore,TOR,,CHW,L,4,11,,32-34,4,6.5,Quintana,Biagini,,3:05,N,"39,071",-
67,"Saturday, Jun 17",boxscore,TOR,,CHW,L,2,5,,32-35,5,6.5,Pelfrey,Stroman,Robertson,2:44,D,"47,171",--
68,"Sunday, Jun 18",boxscore,TOR,,CHW,W,7,3,,33-35,5,5.5,Happ,Swarzak,,3:01,D,"46,599",+
69,"Monday, Jun 19",boxscore,TOR,@,TEX,W,7,6,,34-35,4,5,Beliveau,Bush,Osuna,3:48,N,"25,115",++
70,"Tuesday, Jun 20",boxscore,TOR,@,TEX,L,1,6,,34-36,5,5.5,Martinez,Liriano,,3:06,N,"24,169",-
71,"Wednesday, Jun 21",boxscore,TOR,@,TEX,W,7,5,,35-36,4,5,Biagini,Ross,Osuna,3:20,N,"28,376",+
72,"Thursday, Jun 22",boxscore,TOR,@,TEX,L,4,11,,35-37,4,5,Perez,Stroman,,3:07,D,"26,764",-
73,"Friday, Jun 23",boxscore,TOR,@,KCR,L-wo,4,5,,35-38,4,6,Soria,Loup,,3:16,N,"38,848",--
74,"Saturday, Jun 24",boxscore,TOR,@,KCR,L,2,3,,35-39,5,6,Vargas,Estrada,Herrera,2:26,D,"26,938",---
75,"Sunday, Jun 25",boxscore,TOR,@,KCR,W,8,2,,36-39,5,5,Liriano,Alexander,,3:21,D,"37,182",+
76,"Tuesday, Jun 27",boxscore,TOR,,BAL,L,1,3,,36-40,5,6.5,Gausman,Biagini,Brach,3:00,N,"40,606",-
77,"Wednesday, Jun 28",boxscore,TOR,,BAL,W,4,0,,37-40,5,5.5,Stroman,Miley,,2:27,N,"38,847",+
78,"Thursday, Jun 29",boxscore,TOR,,BAL,L,0,2,,37-41,5,6.5,Jimenez,Happ,Brach,2:20,N,"37,291",-
79,"Friday, Jun 30",boxscore,TOR,,BOS,L,4,7,11,37-42,5,7.5,Boyer,Loup,Kimbrel,4:44,N,"41,357",--
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
80,"Saturday, Jul 1",boxscore,TOR,,BOS,L,1,7,,37-43,5,8.5,Sale,Liriano,,2:54,D,"46,672",---
81,"Sunday, Jul 2",boxscore,TOR,,BOS,L,1,15,,37-44,5,9.5,Pomeranz,Biagini,Abad,3:34,D,"46,696",----
82,"Monday, Jul 3",boxscore,TOR,@,NYY,L,3,6,,37-45,5,10.5,Tanaka,Stroman,,3:11,N,"46,616",-----
83,"Tuesday, Jul 4",boxscore,TOR,@,NYY,W,4,1,,38-45,5,10.5,Happ,Sabathia,Osuna,3:08,D,"44,018",+
84,"Wednesday, Jul 5",boxscore,TOR,@,NYY,W,7,6,,39-45,5,9.5,Barnes,Betances,Osuna,3:28,D,"38,691",++
85,"Thursday, Jul 6",boxscore,TOR,,HOU,W,7,4,,40-45,4,8.5,Liriano,McCullers,Osuna,3:18,N,"40,949",+++
86,"Friday, Jul 7",boxscore,TOR,,HOU,L,2,12,,40-46,4,9.5,Morton,Sanchez,,3:00,N,"37,332",-
87,"Saturday, Jul 8",boxscore,TOR,,HOU,W,7,2,,41-46,4,8.5,Stroman,Fiers,,2:44,D,"46,659",+
88,"Sunday, Jul 9",boxscore,TOR,,HOU,L,1,19,,41-47,5,8.5,Peacock,Happ,,3:24,D,"46,622",-
89,"Friday, Jul 14",boxscore,TOR,@,DET,W,7,2,,42-47,4,8.5,Sanchez,Verlander,,3:48,N,"37,879",+
90,"Saturday, Jul 15",boxscore,TOR,@,DET,L,1,11,,42-48,4,8.5,Fulmer,Liriano,,2:47,N,"40,036",-
91,"Sunday, Jul 16",boxscore,TOR,@,DET,L-wo,5,6,11,42-49,4,9,Saupold,Beliveau,,4:16,D,"37,173",--
92,"Monday, Jul 17",boxscore,TOR,@,BOS,W,4,3,,43-49,4,8,Tepera,Hembree,Osuna,3:18,N,"36,144",+
93,"Tuesday, Jul 18",boxscore,TOR,@,BOS,L-wo,4,5,15,43-50,5,9,Velazquez,Bolsinger,,4:59,N,"36,488",-
94,"Wednesday, Jul 19",boxscore,TOR,@,BOS,L,1,5,,43-51,5,10,Pomeranz,Sanchez,,2:47,N,"37,360",--
95,"Thursday, Jul 20",boxscore,TOR,@,BOS,W,8,6,,44-51,5,9,Leone,Fister,Osuna,3:25,D,"37,094",+
96,"Friday, Jul 21",boxscore,TOR,@,CLE,L,3,13,,44-52,5,10,Bauer,Estrada,,3:23,N,"34,284",-
97,"Saturday, Jul 22",boxscore,TOR,@,CLE,L-wo,1,2,10,44-53,5,10,Shaw,Barnes,,3:01,N,"34,569",--
98,"Sunday, Jul 23",boxscore,TOR,@,CLE,L,1,8,,44-54,5,10,Kluber,Happ,,2:53,D,"30,701",---
99,"Monday, Jul 24",boxscore,TOR,,OAK,W,4,2,,45-54,5,9,Liriano,Smith,Osuna,2:37,N,"39,613",+
100,"Tuesday, Jul 25",boxscore,TOR,,OAK,W,4,1,,46-54,5,8,Valdez,Gray,Osuna,2:55,N,"40,624",++
101,"Wednesday, Jul 26",boxscore,TOR,,OAK,W-wo,3,2,,47-54,5,8,Biagini,Casilla,,2:51,N,"41,984",+++
102,"Thursday, Jul 27",boxscore,TOR,,OAK,W-wo,8,4,10,48-54,5,7.5,Osuna,Hendriks,,3:28,D,"47,484",++++
103,"Friday, Jul 28",boxscore,TOR,,LAA,L,2,7,,48-55,5,8,Bridwell,Happ,,2:47,N,"39,828",-
104,"Saturday, Jul 29",boxscore,TOR,,LAA,L,5,6,,48-56,5,9,Scribner,Osuna,Norris,2:52,D,"46,502",--
105,"Sunday, Jul 30",boxscore,TOR,,LAA,W-wo,11,10,,49-56,5,8,Dermody,Norris,,3:38,D,"46,852",+
106,"Monday, Jul 31",boxscore,TOR,@,CHW,L-wo,6,7,,49-57,5,9,Beck,Osuna,,3:01,N,"13,023",-
Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
107,"Tuesday, Aug 1",boxscore,TOR,@,CHW,W,8,4,,50-57,5,8.5,Stroman,Pelfrey,,3:22,N,"14,622",+
108,"Wednesday, Aug 2",boxscore,TOR,@,CHW,W,5,1,,51-57,5,8,Happ,Holland,Osuna,3:15,D,"20,878",++
109,"Friday, Aug 4",boxscore,TOR,@,HOU,L,7,16,,51-58,5,9.5,Peacock,Valdez,,3:05,N,"39,287",-
110,"Saturday, Aug 5",boxscore,TOR,@,HOU,W,4,3,10,52-58,5,9.5,Tepera,Liriano,Osuna,3:16,N,"41,950",+
111,"Sunday, Aug 6",boxscore,TOR,@,HOU,L-wo,6,7,,52-59,5,10.5,Martes,Osuna,,3:16,D,"36,300",-
112,"Tuesday, Aug 8",boxscore,TOR,,NYY,W,4,2,,53-59,5,10.5,Happ,Sabathia,Osuna,2:50,N,"41,596",+
113,"Wednesday, Aug 9",boxscore,TOR,,NYY,L,5,11,,53-60,5,11.5,Green,Tepesch,,3:44,N,"39,554",-
114,"Thursday, Aug 10",boxscore,TOR,,NYY,W,4,0,,54-60,5,11,Estrada,Gray,,2:55,N,"43,212",+
115,"Friday, Aug 11",boxscore,TOR,,PIT,L,2,4,,54-61,5,11,Taillon,Stroman,Rivero,2:41,N,"35,965",-
116,"Saturday, Aug 12",boxscore,TOR,,PIT,W,7,2,,55-61,5,11,Rowley,Williams,,2:50,D,"46,179",+
117,"Sunday, Aug 13",boxscore,TOR,,PIT,W,7,1,,56-61,5,11,Happ,Kuhl,,2:51,D,"43,618",++
118,"Monday, Aug 14",boxscore,TOR,,TBR,W,2,1,,57-61,5,10,Tepesch,Odorizzi,Osuna,2:54,N,"32,151",+++
