Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
43,"Tuesday, May 23",boxscore,NYY,,KCR,L,2,6,,26-17,1,up 1.5,Duffy,Warren,,2:47,N,"35,931",-
44,"Wednesday, May 24",boxscore,NYY,,KCR,W,3,0,,27-17,1,up 2.5,Severino,Hammel,Betances,2:40,N,"34,610",+
45,"Friday, May 26",boxscore,NYY,,OAK,L,1,4,,27-18,1,up 2.0,Manaea,Tanaka,,3:09,N,"39,044",-
46,"Saturday, May 27",boxscore,NYY,,OAK,W,3,2,,28-18,1,up 2.0,Sabathia,Cotton,Betances,3:14,D,"40,218",+
47,"Sunday, May 28",boxscore,NYY,,OAK,W,9,5,,29-18,1,up 3.0,Pineda,Triggs,Warren,3:09,D,"45,232",++
48,"Monday, May 29",boxscore,NYY,@,BAL,L,2,3,,29-19,1,up 3.0,Bundy,Montgomery,Brach,2:54,D,"40,242",-
49,"Tuesday, May 30",boxscore,NYY,@,BAL,W,8,3,,30-19,1,up 3.0,Severino,Tillman,,3:19,N,"16,126",+
50,"Wednesday, May 31",boxscore,NYY,@,BAL,L,4,10,,30-20,1,up 2.0,Gausman,Tanaka,,3:18,N,"22,983",-
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
51,"Thursday, Jun 1",boxscore,NYY,@,TOR,W,12,2,,31-20,1,up 3.0,Sabathia,Estrada,,3:10,N,"37,722",+
52,"Friday, Jun 2",boxscore,NYY,@,TOR,L,5,7,,31-21,1,up 2.5,Liriano,Pineda,Osuna,3:13,N,"44,261",-
53,"Saturday, Jun 3",boxscore,NYY,@,TOR,W,7,0,,32-21,1,up 3.0,Montgomery,Biagini,,3:00,D,"47,226",+
54,"Sunday, Jun 4",boxscore,NYY,@,TOR,L,2,3,,32-22,1,up 2.0,Smith,Clippard,Osuna,2:27,D,"46,782",-
55,"Tuesday, Jun 6",boxscore,NYY,,BOS,L,4,5,,32-23,1,up 1.0,Pomeranz,Tanaka,Kimbrel,3:35,N,"41,516",--
56,"Wednesday, Jun 7",boxscore,NYY,,BOS,W,8,0,,33-23,1,up 2.0,Sabathia,Porcello,,2:42,N,"44,380",+
57,"Thursday, Jun 8",boxscore,NYY,,BOS,W,9,1,,34-23,1,up 3.0,Pineda,Price,,3:27,N,"46,194",++
58,"Friday, Jun 9",boxscore,NYY,,BAL,W,8,2,,35-23,1,up 3.0,Montgomery,Bundy,,2:45,N,"46,031",+++
59,"Saturday, Jun 10",boxscore,NYY,,BAL,W,16,3,,36-23,1,up 3.0,Severino,Tillman,,3:11,N,"45,232",++++
60,"Sunday, Jun 11",boxscore,NYY,,BAL,W,14,3,,37-23,1,up 4.0,Warren,Gausman,,3:38,D,"46,348",+++++
61,"Monday, Jun 12",boxscore,NYY,@,LAA,W,5,3,,38-23,1,up 4.0,Clippard,Alvarez,Betances,3:40,N,"36,245",++++++
62,"Tuesday, Jun 13",boxscore,NYY,@,LAA,L-wo,2,3,11,38-24,1,up 3.0,Middleton,Shreve,,4:14,N,"33,159",-
63,"Wednesday, Jun 14",boxscore,NYY,@,LAA,L,5,7,,38-25,1,up 2.0,Parker,Herrera,Hernandez,3:23,N,"43,851",--
64,"Thursday, Jun 15",boxscore,NYY,@,OAK,L-wo,7,8,10,38-26,1,up 2.0,Hendriks,Gallegos,,4:29,N,"21,838",---
65,"Friday, Jun 16",boxscore,NYY,@,OAK,L,6,7,,38-27,1,up 1.0,Coulombe,Holder,Casilla,3:13,N,"30,184",----
66,"Saturday, Jun 17",boxscore,NYY,@,OAK,L,2,5,,38-28,1,up 1.0,Hahn,Tanaka,Doolittle,3:17,D,"31,418",-----
67,"Sunday, Jun 18",boxscore,NYY,@,OAK,L,3,4,,38-29,1,Tied,Cotton,Cessa,Doolittle,2:55,D,"34,140",------
68,"Tuesday, Jun 20",boxscore,NYY,,LAA,L,3,8,,38-30,2,0.5,Parker,Clippard,,3:26,N,"39,853",-------
69,"Wednesday, Jun 21",boxscore,NYY,,LAA,W,8,4,,39-30,1,up 0.5,Montgomery,Nolasco,,3:14,N,"39,911",+
70,"Thursday, Jun 22",boxscore,NYY,,LAA,L,5,10,,39-31,1,Tied,Petit,Severino,,3:24,N,"43,051",-
71,"Friday, Jun 23",boxscore,NYY,,TEX,W-wo,2,1,10,40-31,1,Tied,Shreve,Bush,,3:32,N,"39,602",+
72,"Saturday, Jun 24",boxscore,NYY,,TEX,L,1,8,,40-32,1,Tied,Bibens-Dirkx,Cessa,,3:03,D,"40,225",-
73,"Sunday, Jun 25",boxscore,NYY,,TEX,L,6,7,,40-33,1,Tied,Martinez,Pineda,Bush,3:20,D,"46,625",--
74,"Monday, Jun 26",boxscore,NYY,@,CHW,W,6,5,,41-33,1,Tied,Montgomery,Holmberg,Chapman,3:28,N,"20,339",+
75,"Tuesday, Jun 27",boxscore,NYY,@,CHW,L-wo,3,4,,41-34,2,1,Jennings,Betances,,3:25,N,"18,023",-
76,"Wednesday, Jun 28",boxscore,NYY,@,CHW,W,12,3,,42-34,1,Tied,Tanaka,Rodon,,3:51,N,"15,259",+
77,"Thursday, Jun 29",boxscore,NYY,@,CHW,L,3,4,,42-35,2,1,Shields,Cessa,Robertson,3:01,N,"21,032",-
78,"Friday, Jun 30",boxscore,NYY,@,HOU,W,13,4,,43-35,2,1,Pineda,Feliz,Mitchell,3:20,N,"40,024",+
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
79,"Saturday, Jul 1",boxscore,NYY,@,HOU,L,6,7,,43-36,2,2,Diaz,Betances,Giles,3:25,N,"41,010",-
80,"Sunday, Jul 2",boxscore,NYY,@,HOU,L,1,8,,43-37,2,3,Devenski,Severino,,3:29,D,"41,761",--
81,"Monday, Jul 3",boxscore,NYY,,TOR,W,6,3,,44-37,2,3,Tanaka,Stroman,,3:11,N,"46,616",+
82,"Tuesday, Jul 4",boxscore,NYY,,TOR,L,1,4,,44-38,2,4,Happ,Sabathia,Osuna,3:08,D,"44,018",-
83,"Wednesday, Jul 5",boxscore,NYY,,TOR,L,6,7,,44-39,2,4,Barnes,Betances,Osuna,3:28,D,"38,691",--
84,"Friday, Jul 7",boxscore,NYY,,MIL,L,4,9,,44-40,2,4.5,Hader,Clippard,,3:57,N,"43,472",---
85,"Saturday, Jul 8",boxscore,NYY,,MIL,W-wo,5,3,,45-40,2,3.5,Chapman,Knebel,,2:36,D,"40,224",+
86,"Sunday, Jul 9",boxscore,NYY,,MIL,L,3,5,,45-41,2,3.5,Nelson,Tanaka,Knebel,3:59,D,"43,952",-
87,"Friday, Jul 14",boxscore,NYY,@,BOS,L-wo,4,5,,45-42,3,4.5,Scott,Chapman,,3:27,N,"37,570",--
88,"Saturday, Jul 15",boxscore,NYY,@,BOS,W,4,1,16,46-42,3,3.5,Heller,Fister,,5:50,D,"36,936",+
89,"Sunday, Jul 16 (1)",boxscore,NYY,@,BOS,W,3,0,,47-42,3,3.5,Sabathia,Porcello,Chapman,3:13,D,"37,343",++
90,"Sunday, Jul 16 (2)",boxscore,NYY,@,BOS,L,0,3,,47-43,3,3.5,Price,Tanaka,Kimbrel,2:59,N,"36,719",-
91,"Monday, Jul 17",boxscore,NYY,@,MIN,L,2,4,,47-44,3,3.5,Rogers,Smith,Kintzler,3:02,N,"27,566",--
92,"Tuesday, Jul 18",boxscore,NYY,@,MIN,W,6,3,,48-44,3,3.5,Shreve,Colon,Chapman,3:28,N,"33,114",+
93,"Wednesday, Jul 19",boxscore,NYY,@,MIN,L,1,6,,48-45,3,4.5,Berrios,Montgomery,,2:58,D,"33,380",-
94,"Thursday, Jul 20",boxscore,NYY,@,SEA,W,4,1,,49-45,3,3.5,Severino,Hernandez,,3:14,N,"35,175",+
95,"Friday, Jul 21",boxscore,NYY,@,SEA,W,5,1,,50-45,2,3.5,Sabathia,Moore,,2:50,N,"34,073",++
96,"Saturday, Jul 22",boxscore,NYY,@,SEA,L-wo,5,6,10,50-46,2,3.5,Zych,Warren,,3:28,N,"46,197",-
97,"Sunday, Jul 23",boxscore,NYY,@,SEA,W,6,4,,51-46,2,2.5,Green,Pazos,Chapman,3:13,D,"38,503",+
98,"Tuesday, Jul 25",boxscore,NYY,,CIN,W,4,2,,52-46,2,1,Montgomery,Castillo,Chapman,2:38,N,"44,268",++
99,"Wednesday, Jul 26",boxscore,NYY,,CIN,W,9,5,,53-46,2,1,Severino,Bailey,,2:52,D,"42,421",+++
