Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
44,"Wednesday, May 24",boxscore,ATL,,PIT,L,5,12,10,20-24,2,7.5,Rivero,Collmenter,,4:02,N,"25,981",-
45,"Thursday, May 25",boxscore,ATL,,PIT,L,4,9,,20-25,2,7.5,Nova,Colon,,2:41,D,"33,713",--
46,"Friday, May 26",boxscore,ATL,@,SFG,W,2,0,,21-25,2,7.5,Garcia,Cain,Johnson,2:40,N,"41,326",+
47,"Saturday, May 27",boxscore,ATL,@,SFG,L,3,6,,21-26,2,8.5,Blach,Foltynewicz,Melancon,2:31,N,"41,355",-
48,"Sunday, May 28",boxscore,ATL,@,SFG,L,1,7,,21-27,2,8.5,Cueto,Dickey,,2:29,D,"42,343",--
49,"Monday, May 29",boxscore,ATL,@,LAA,W,6,3,,22-27,2,8.5,Teheran,Nolasco,Johnson,2:50,N,"38,251",+
50,"Tuesday, May 30",boxscore,ATL,@,LAA,L,3,9,,22-28,3,9.5,Bridwell,Colon,,2:47,N,"32,028",-
51,"Wednesday, May 31",boxscore,ATL,@,LAA,L,1,2,,22-29,3,10.5,Parker,Vizcaino,Norris,2:49,N,"35,795",--
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
52,"Friday, Jun 2",boxscore,ATL,@,CIN,L-wo,2,3,10,22-30,3,11.5,Iglesias,Ramirez,,3:03,N,"27,300",---
53,"Saturday, Jun 3",boxscore,ATL,@,CIN,W,6,5,12,23-30,3,10.5,Johnson,Wood,,4:20,D,"26,485",+
54,"Sunday, Jun 4",boxscore,ATL,@,CIN,W,13,8,,24-30,2,10.5,Teheran,Garrett,,3:23,D,"26,227",++
55,"Monday, Jun 5",boxscore,ATL,,PHI,L,4,11,,24-31,2,11.5,Pivetta,Colon,,3:18,N,"20,942",-
56,"Tuesday, Jun 6",boxscore,ATL,,PHI,L,1,3,,24-32,2,12.5,Nola,Garcia,Neshek,2:42,N,"23,489",--
57,"Wednesday, Jun 7",boxscore,ATL,,PHI,W,14,1,,25-32,2,11.5,Foltynewicz,Eickhoff,,2:58,N,"24,185",+
58,"Thursday, Jun 8",boxscore,ATL,,PHI,W,3,1,,26-32,2,11.5,Dickey,Lively,Johnson,2:40,N,"25,095",++
59,"Friday, Jun 9",boxscore,ATL,,NYM,W-wo,3,2,,27-32,2,10.5,Johnson,Salas,,3:11,N,"36,791",+++
60,"Saturday, Jun 10 (1)",boxscore,ATL,,NYM,L,1,6,,27-33,3,11,Gsellman,Newcomb,Reed,3:05,D,"27,684",-
61,"Saturday, Jun 10 (2)",boxscore,ATL,,NYM,L,1,8,,27-34,3,11,Matz,Wisler,,2:41,N,"40,174",--
62,"Sunday, Jun 11",boxscore,ATL,,NYM,L,1,2,,27-35,3,11,Lugo,Garcia,Reed,3:01,D,"30,638",---
63,"Monday, Jun 12",boxscore,ATL,@,WSN,W,11,10,,28-35,3,10,Motte,Albers,Johnson,3:49,N,"28,909",+
64,"Tuesday, Jun 13",boxscore,ATL,@,WSN,L,5,10,,28-36,4,11,Gott,Dickey,,3:16,N,"31,762",-
65,"Wednesday, Jun 14",boxscore,ATL,@,WSN,W,13,2,,29-36,4,10,Teheran,Roark,,3:17,D,"36,227",+
66,"Friday, Jun 16",boxscore,ATL,,MIA,L,0,5,,29-37,4,11.5,Straily,Newcomb,,2:44,N,"38,123",-
67,"Saturday, Jun 17",boxscore,ATL,,MIA,W-wo,8,7,10,30-37,3,11.5,Vizcaino,Ramos,,3:48,D,"38,661",+
68,"Sunday, Jun 18",boxscore,ATL,,MIA,W-wo,5,4,,31-37,2,10.5,Johnson,Steckenrider,,2:53,D,"36,912",++
69,"Monday, Jun 19",boxscore,ATL,,SFG,W,9,0,,32-37,2,9.5,Dickey,Cueto,,2:46,N,"24,723",+++
70,"Tuesday, Jun 20",boxscore,ATL,,SFG,L,3,6,,32-38,2,10.5,Moore,Teheran,Melancon,2:56,N,"23,823",-
71,"Wednesday, Jun 21",boxscore,ATL,,SFG,W-wo,5,3,11,33-38,2,9.5,Jackson,Gearrin,,3:16,N,"25,771",+
72,"Thursday, Jun 22",boxscore,ATL,,SFG,W,12,11,,34-38,2,9,Hursh,Cain,Johnson,3:37,N,"25,521",++
73,"Friday, Jun 23",boxscore,ATL,,MIL,W,5,4,,35-38,2,9,Foltynewicz,Nelson,Vizcaino,3:18,N,"30,521",+++
74,"Saturday, Jun 24",boxscore,ATL,,MIL,W,3,1,,36-38,2,9,Dickey,Garza,Johnson,2:57,D,"38,463",++++
75,"Sunday, Jun 25",boxscore,ATL,,MIL,L,0,7,,36-39,2,9,Davies,Teheran,,3:01,D,"31,634",-
76,"Tuesday, Jun 27",boxscore,ATL,@,SDP,W,3,0,,37-39,2,8.5,Newcomb,Chacin,Johnson,2:45,N,"20,667",+
77,"Wednesday, Jun 28",boxscore,ATL,@,SDP,L,4,7,,37-40,2,9.5,Perdomo,Colon,Maurer,2:55,N,"19,312",-
78,"Thursday, Jun 29",boxscore,ATL,@,SDP,L,0,6,,37-41,2,9.5,Lamet,Garcia,,2:40,N,"20,936",--
79,"Friday, Jun 30",boxscore,ATL,@,OAK,W,3,1,,38-41,2,8.5,Foltynewicz,Gray,Johnson,2:45,N,"19,286",+
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
80,"Saturday, Jul 1",boxscore,ATL,@,OAK,W,4,3,,39-41,2,7.5,Freeman,Casilla,Johnson,3:16,D,"22,230",++
81,"Sunday, Jul 2",boxscore,ATL,@,OAK,W,4,3,12,40-41,2,7.5,Johnson,Axford,Vizcaino,4:11,D,"18,438",+++
82,"Tuesday, Jul 4",boxscore,ATL,,HOU,L,4,16,,40-42,2,9,Peacock,Newcomb,,3:39,N,"41,456",-
83,"Wednesday, Jul 5",boxscore,ATL,,HOU,L,4,10,,40-43,2,9.5,Devenski,Garcia,,3:21,N,"37,278",--
84,"Thursday, Jul 6",boxscore,ATL,@,WSN,W,5,2,,41-43,2,8.5,Foltynewicz,Gonzalez,Johnson,3:10,N,"22,724",+
85,"Friday, Jul 7",boxscore,ATL,@,WSN,L-wo,4,5,10,41-44,2,9.5,Albers,Krol,,3:28,N,"32,664",-
86,"Saturday, Jul 8",boxscore,ATL,@,WSN,W,13,0,,42-44,2,8.5,Teheran,Strasburg,,3:12,D,"38,439",+
87,"Sunday, Jul 9",boxscore,ATL,@,WSN,L,5,10,,42-45,2,9.5,Grace,Newcomb,,3:32,D,"35,030",-
88,"Friday, Jul 14",boxscore,ATL,,ARI,W,4,3,,43-45,2,9.5,Brothers,Bradley,Johnson,3:02,N,"38,852",+
89,"Saturday, Jul 15",boxscore,ATL,,ARI,W,8,5,,44-45,2,9.5,Krol,Delgado,Johnson,3:28,N,"41,627",++
90,"Sunday, Jul 16",boxscore,ATL,,ARI,W,7,1,,45-45,2,9.5,Garcia,Godley,,2:47,D,"36,637",+++
91,"Monday, Jul 17",boxscore,ATL,,CHC,L,3,4,,45-46,2,10.5,Lester,Teheran,Davis,3:17,N,"41,256",-
92,"Tuesday, Jul 18",boxscore,ATL,,CHC,L,1,5,,45-47,2,11.5,Lackey,Newcomb,,3:01,N,"41,541",--
93,"Wednesday, Jul 19",boxscore,ATL,,CHC,L,2,8,,45-48,2,11.5,Montgomery,Dickey,,3:05,D,"40,054",---
94,"Thursday, Jul 20",boxscore,ATL,@,LAD,W,6,3,,46-48,2,11,Foltynewicz,McCarthy,Johnson,2:49,N,"45,636",+
95,"Friday, Jul 21",boxscore,ATL,@,LAD,W,12,3,,47-48,2,10,Garcia,Wood,,3:07,N,"46,083",++
96,"Saturday, Jul 22",boxscore,ATL,@,LAD,L,2,6,,47-49,2,11,Hill,Teheran,,2:51,N,"47,497",-
