Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
44,"Tuesday, May 23",boxscore,CHW,@,ARI,L,4,5,,20-24,4,5,Corbin,Covey,Rodney,2:56,N,"17,865",--
45,"Wednesday, May 24",boxscore,CHW,@,ARI,L,6,8,,20-25,4,6,Chafin,Quintana,Rodney,3:02,D,"18,002",---
46,"Friday, May 26 (1)",boxscore,CHW,,DET,W,8,2,,21-25,4,5,Pelfrey,Boyd,,3:42,N,"17,842",+
47,"Saturday, May 27 (1)",boxscore,CHW,,DET,W,3,0,,22-25,4,5.5,Danish,Fulmer,Robertson,2:54,D,,++
48,"Saturday, May 27 (2)",boxscore,CHW,,DET,L,3,4,,22-26,4,5.5,Farmer,Holland,,3:14,D,"26,327",-
49,"Sunday, May 28",boxscore,CHW,,DET,W,7,3,,23-26,3,4.5,Gonzalez,Zimmermann,Robertson,2:44,D,"27,578",+
50,"Monday, May 29",boxscore,CHW,,BOS,W,5,4,,24-26,3,3.5,Minaya,Barnes,Robertson,3:16,D,"27,148",++
51,"Tuesday, May 30",boxscore,CHW,,BOS,L,7,13,,24-27,3,3.5,Sale,Quintana,Kimbrel,3:53,N,"21,852",-
52,"Wednesday, May 31",boxscore,CHW,,BOS,L,1,4,,24-28,4,3.5,Pomeranz,Swarzak,Kimbrel,2:59,N,"19,075",--
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
53,"Friday, Jun 2",boxscore,CHW,@,DET,L,5,15,,24-29,4,5,Fulmer,Holland,,3:01,N,"28,619",---
54,"Saturday, Jun 3",boxscore,CHW,@,DET,L,1,10,,24-30,4,5,Zimmermann,Gonzalez,,3:14,D,"33,188",----
55,"Sunday, Jun 4",boxscore,CHW,@,DET,L-wo,4,7,,24-31,4,6,Wilson,Robertson,,4:07,D,"30,208",-----
56,"Tuesday, Jun 6",boxscore,CHW,@,TBR,W,4,2,,25-31,4,5,Beck,Archer,Robertson,3:29,N,"14,590",+
57,"Wednesday, Jun 7",boxscore,CHW,@,TBR,L,1,3,,25-32,5,5,Faria,Pelfrey,Colome,2:53,N,"9,313",-
58,"Thursday, Jun 8",boxscore,CHW,@,TBR,L,5,7,,25-33,5,6,Odorizzi,Holland,Colome,3:09,N,"8,971",--
59,"Friday, Jun 9",boxscore,CHW,@,CLE,L,3,7,,25-34,5,7,Kluber,Gonzalez,,3:00,N,"30,043",---
60,"Saturday, Jun 10",boxscore,CHW,@,CLE,W,5,3,,26-34,5,7,Holmberg,Tomlin,Robertson,2:59,N,"31,753",+
61,"Sunday, Jun 11",boxscore,CHW,@,CLE,L,2,4,,26-35,5,7,Carrasco,Quintana,Allen,3:16,D,"26,611",-
62,"Monday, Jun 12",boxscore,CHW,,BAL,W,10,7,,27-35,5,6,Petricka,Miley,,3:29,N,"17,665",+
63,"Tuesday, Jun 13",boxscore,CHW,,BAL,W,6,1,,28-35,5,6,Holland,Asher,,2:54,N,"15,038",++
