Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
45,"Saturday, May 20",boxscore,SDP,,ARI,L,1,9,,15-30,5,12.5,Ray,Perdomo,,2:56,N,"29,969",-----
46,"Sunday, May 21",boxscore,SDP,,ARI,W,5,1,,16-30,5,12.5,Richard,Godley,,2:16,D,"27,198",+
47,"Tuesday, May 23",boxscore,SDP,@,NYM,L,3,9,,16-31,5,14,Harvey,Chacin,,2:56,N,"24,337",-
48,"Wednesday, May 24",boxscore,SDP,@,NYM,W,6,5,,17-31,5,14,Buchter,Smoker,Hand,3:28,N,"23,933",+
49,"Thursday, May 25",boxscore,SDP,@,NYM,W,4,3,,18-31,5,13,Lamet,Montero,Hand,3:16,N,"24,131",++
50,"Friday, May 26",boxscore,SDP,@,WSN,L,1,5,,18-32,5,14,Scherzer,Perdomo,Glover,2:25,N,"28,606",-
51,"Saturday, May 27",boxscore,SDP,@,WSN,L,0,3,,18-33,5,14,Strasburg,Richard,Glover,2:49,D,"37,357",--
52,"Sunday, May 28",boxscore,SDP,@,WSN,W,5,3,,19-33,5,14,Yates,Ross,Maurer,3:19,D,"30,243",+
53,"Monday, May 29",boxscore,SDP,,CHC,W,5,2,,20-33,5,13,Torres,Hendricks,Maurer,2:59,D,"41,414",++
54,"Tuesday, May 30",boxscore,SDP,,CHC,W,6,2,,21-33,5,12.5,Lamet,Butler,,2:52,N,"33,232",+++
55,"Wednesday, May 31",boxscore,SDP,,CHC,W,2,1,,22-33,4,11.5,Hand,Uehara,Maurer,2:25,D,"23,995",++++
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
56,"Friday, Jun 2",boxscore,SDP,,COL,W,8,5,,23-33,4,11,Richard,Marquez,Maurer,3:02,N,"20,932",+++++
57,"Saturday, Jun 3",boxscore,SDP,,COL,L,1,10,,23-34,4,12,Chatwood,Chacin,,2:52,D,"20,996",-
58,"Sunday, Jun 4",boxscore,SDP,,COL,L,1,3,,23-35,4,12.5,Hoffman,Cosart,Holland,3:06,D,"24,763",--
59,"Tuesday, Jun 6",boxscore,SDP,@,ARI,L,2,10,,23-36,5,13.5,Ray,Lamet,,2:52,N,"25,883",---
60,"Wednesday, Jun 7",boxscore,SDP,@,ARI,L,4,7,,23-37,5,14.5,Greinke,Perdomo,Rodney,3:48,N,"22,079",----
61,"Thursday, Jun 8",boxscore,SDP,@,ARI,L,3,15,,23-38,5,15.5,Corbin,Richard,,2:59,D,"21,340",-----
62,"Friday, Jun 9",boxscore,SDP,,KCR,W,6,3,,24-38,5,15.5,Chacin,Strahm,Maurer,2:51,N,"23,055",+
63,"Saturday, Jun 10",boxscore,SDP,,KCR,L,6,12,,24-39,5,16.5,Wood,Hand,,3:44,D,"26,107",-
64,"Sunday, Jun 11",boxscore,SDP,,KCR,L,3,8,,24-40,5,16.5,Junis,Lamet,,2:27,D,"25,599",--
65,"Monday, Jun 12",boxscore,SDP,,CIN,W,9,3,,25-40,5,15.5,Perdomo,Arroyo,,2:39,N,"17,006",+
66,"Tuesday, Jun 13",boxscore,SDP,,CIN,W,6,2,,26-40,4,14.5,Richard,Feldman,Maurer,2:35,N,"20,463",++
67,"Wednesday, Jun 14",boxscore,SDP,,CIN,W,4,2,,27-40,4,14.5,Chacin,Lorenzen,Maurer,2:26,D,"20,386",+++
68,"Friday, Jun 16",boxscore,SDP,@,MIL,L-wo,5,6,10,27-41,4,16,Hughes,Buchter,,3:16,N,"31,161",-
69,"Saturday, Jun 17",boxscore,SDP,@,MIL,W,7,5,11,28-41,4,16,Torres,Drake,Maton,3:46,D,"34,312",+
70,"Sunday, Jun 18",boxscore,SDP,@,MIL,L,1,2,,28-42,4,17,Nelson,Perdomo,,2:37,D,"34,518",-
71,"Monday, Jun 19",boxscore,SDP,@,CHC,L,2,3,,28-43,4,17.5,Rondon,Yates,Davis,3:06,N,"40,802",--
72,"Tuesday, Jun 20",boxscore,SDP,@,CHC,L,0,4,,28-44,4,18.5,Montgomery,Chacin,,2:38,N,"41,607",---
73,"Wednesday, Jun 21",boxscore,SDP,@,CHC,W,3,2,,29-44,4,18,Maton,Uehara,Maurer,3:09,D,"41,708",+
74,"Friday, Jun 23",boxscore,SDP,,DET,W,1,0,,30-44,4,18.5,Perdomo,Fulmer,Maurer,2:36,N,"25,477",++
75,"Saturday, Jun 24",boxscore,SDP,,DET,W,7,3,,31-44,4,18.5,Yates,Greene,,2:51,N,"31,749",+++
76,"Sunday, Jun 25",boxscore,SDP,,DET,L,5,7,,31-45,4,19.5,Rondon,Maurer,Wilson,3:12,D,"29,595",-
77,"Tuesday, Jun 27",boxscore,SDP,,ATL,L,0,3,,31-46,4,20,Newcomb,Chacin,Johnson,2:45,N,"20,667",--
78,"Wednesday, Jun 28",boxscore,SDP,,ATL,W,7,4,,32-46,4,19,Perdomo,Colon,Maurer,2:55,N,"19,312",+
79,"Thursday, Jun 29",boxscore,SDP,,ATL,W,6,0,,33-46,4,19,Lamet,Garcia,,2:40,N,"20,936",++
80,"Friday, Jun 30",boxscore,SDP,,LAD,L,4,10,,33-47,4,20,Wood,Richard,,3:27,N,"39,254",-
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
81,"Saturday, Jul 1",boxscore,SDP,,LAD,L,0,8,,33-48,4,21,Hill,Overton,,2:59,N,"40,683",--
82,"Sunday, Jul 2",boxscore,SDP,,LAD,W,5,3,,34-48,4,20,Chacin,Maeda,Maurer,3:37,D,"41,604",+
83,"Tuesday, Jul 4",boxscore,SDP,@,CLE,W,1,0,,35-48,4,20,Torres,Kluber,Maurer,2:59,N,"33,869",++
84,"Wednesday, Jul 5",boxscore,SDP,@,CLE,W,6,2,,36-48,4,20,Perdomo,Bauer,,3:21,N,"18,765",+++
85,"Thursday, Jul 6",boxscore,SDP,@,CLE,L,2,11,,36-49,4,21,Tomlin,Lamet,,3:08,N,"19,057",-
86,"Friday, Jul 7",boxscore,SDP,@,PHI,W,4,3,,37-49,4,21,Hand,Neris,Maurer,2:41,N,"38,533",+
87,"Saturday, Jul 8",boxscore,SDP,@,PHI,W,2,1,,38-49,4,21,Chacin,Nola,Maurer,2:30,D,"33,216",++
88,"Sunday, Jul 9",boxscore,SDP,@,PHI,L,1,7,,38-50,4,22,Eickhoff,Cahill,,2:45,D,"21,184",-
89,"Friday, Jul 14",boxscore,SDP,,SFG,L,4,5,,38-51,4,23,Gearrin,Richard,Dyson,3:27,N,"34,970",--
90,"Saturday, Jul 15",boxscore,SDP,,SFG,W-wo,5,3,,39-51,4,23,Maurer,Gearrin,,2:53,N,"36,266",+
91,"Sunday, Jul 16",boxscore,SDP,,SFG,W,7,1,,40-51,4,23,Cahill,Samardzija,,2:39,D,"30,561",++
92,"Monday, Jul 17",boxscore,SDP,@,COL,L,6,9,,40-52,4,23.5,Marquez,Perdomo,Holland,3:23,N,"37,561",-
93,"Tuesday, Jul 18",boxscore,SDP,@,COL,L,7,9,,40-53,4,24.5,Senzatela,Lamet,Holland,3:14,N,"40,101",--
94,"Wednesday, Jul 19",boxscore,SDP,@,COL,L,4,18,,40-54,4,25.5,Gray,Richard,,3:30,D,"37,128",---
95,"Thursday, Jul 20",boxscore,SDP,@,SFG,W,5,2,,41-54,4,24.5,Chacin,Bumgarner,Maurer,2:59,N,"41,166",+
96,"Friday, Jul 21",boxscore,SDP,@,SFG,W,12,9,11,42-54,4,23.5,Maton,Kontos,,4:46,N,"41,145",++
97,"Saturday, Jul 22",boxscore,SDP,@,SFG,L-wo,4,5,12,42-55,4,24.5,Osich,Quackenbush,,3:57,D,"40,936",-
98,"Sunday, Jul 23",boxscore,SDP,@,SFG,W,5,2,,43-55,4,24.5,Lamet,Blach,Hand,2:48,D,"41,372",+
99,"Monday, Jul 24",boxscore,SDP,,NYM,L,3,5,,43-56,4,25.5,deGrom,Richard,Reed,2:35,N,"23,325",-
100,"Tuesday, Jul 25",boxscore,SDP,,NYM,L,5,6,,43-57,4,26.5,Lugo,Torres,Reed,3:05,N,"28,024",--
101,"Wednesday, Jul 26",boxscore,SDP,,NYM,W,6,3,,44-57,4,26.5,Chacin,Matz,Hand,2:47,N,"19,281",+
102,"Thursday, Jul 27",boxscore,SDP,,NYM,W,7,5,,45-57,4,26,Perdomo,Flexen,Hand,3:04,N,"26,262",++
103,"Friday, Jul 28",boxscore,SDP,,PIT,W,3,2,,46-57,4,26,Wood,Hudson,Hand,2:44,N,"24,215",+++
104,"Saturday, Jul 29",boxscore,SDP,,PIT,W,4,2,,47-57,4,26,Lamet,Nova,Yates,2:50,N,"37,286",++++
105,"Sunday, Jul 30",boxscore,SDP,,PIT,L,1,7,,47-58,4,27,Cole,Richard,,2:49,D,"30,267",-
Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
106,"Tuesday, Aug 1",boxscore,SDP,,MIN,W,3,0,,48-58,4,27,Chacin,Berrios,Hand,2:23,N,"24,491",+
107,"Wednesday, Aug 2",boxscore,SDP,,MIN,L,2,5,,48-59,4,27,Santana,Perdomo,,2:24,D,"23,806",-
108,"Friday, Aug 4",boxscore,SDP,@,PIT,L,6,10,,48-60,4,28.5,Schugel,Yates,,3:35,N,"32,243",--
109,"Saturday, Aug 5",boxscore,SDP,@,PIT,W,5,2,,49-60,4,28.5,Lamet,Cole,Hand,3:13,N,"31,817",+
110,"Sunday, Aug 6",boxscore,SDP,@,PIT,L-wo,4,5,12,49-61,4,29.5,Neverauskas,Baumann,,4:03,D,"34,175",-
