Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
44,"Saturday, May 20",boxscore,TEX,@,DET,L,3,9,,23-21,2,6.5,Verlander,Griffin,,2:58,N,"35,166",-
45,"Sunday, May 21",boxscore,TEX,@,DET,W,5,2,,24-21,2,5.5,Darvish,Boyd,Kela,3:35,N,"24,080",+
46,"Tuesday, May 23",boxscore,TEX,@,BOS,L,6,11,,24-22,2,7,Porcello,Cashner,,3:23,N,"34,769",-
47,"Wednesday, May 24",boxscore,TEX,@,BOS,L,4,9,,24-23,2,7,Sale,Dyson,,2:59,N,"36,089",--
48,"Thursday, May 25",boxscore,TEX,@,BOS,L,2,6,,24-24,2,8,Pomeranz,Martinez,,3:23,N,"33,484",---
49,"Friday, May 26",boxscore,TEX,@,TOR,L,6,7,,24-25,2,9,Loup,Griffin,Osuna,3:30,N,"40,754",----
50,"Saturday, May 27",boxscore,TEX,@,TOR,L,1,3,,24-26,3,10,Estrada,Darvish,Osuna,3:16,D,"46,825",-----
51,"Sunday, May 28",boxscore,TEX,@,TOR,W,3,1,,25-26,2,10,Cashner,Biagini,Bush,2:53,D,"46,188",+
52,"Monday, May 29",boxscore,TEX,,TBR,L,8,10,,25-27,2,11,De Leon,Barnette,Colome,3:48,N,"35,914",-
53,"Tuesday, May 30",boxscore,TEX,,TBR,W,9,5,,26-27,2,11,Kela,Whitley,,3:14,N,"22,942",+
54,"Wednesday, May 31",boxscore,TEX,,TBR,L,5,7,10,26-28,3,12,Pruitt,Dyson,Colome,3:45,N,"24,410",-
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
55,"Friday, Jun 2",boxscore,TEX,,HOU,L,1,7,,26-29,3,13,Keuchel,Darvish,,2:58,N,"39,729",--
56,"Saturday, Jun 3",boxscore,TEX,,HOU,L,5,6,,26-30,4,14,Devenski,Cashner,Giles,3:46,N,"44,168",---
57,"Sunday, Jun 4",boxscore,TEX,,HOU,L,2,7,,26-31,4,15,Peacock,Perez,,3:18,D,"39,204",----
58,"Tuesday, Jun 6",boxscore,TEX,,NYM,W,10,8,,27-31,4,14.5,Bibens-Dirkx,deGrom,,3:19,N,"32,617",+
59,"Wednesday, Jun 7",boxscore,TEX,,NYM,L,3,4,,27-32,4,14.5,Blevins,Bush,Reed,3:10,N,"32,477",-
60,"Friday, Jun 9",boxscore,TEX,@,WSN,W,5,2,,28-32,4,14,Cashner,Roark,Bush,3:00,N,"38,332",+
61,"Saturday, Jun 10",boxscore,TEX,@,WSN,W,6,3,11,29-32,4,14,Kela,Kelley,,4:14,D,"32,157",++
62,"Sunday, Jun 11",boxscore,TEX,@,WSN,W,5,1,,30-32,3,13,Bibens-Dirkx,Scherzer,,2:53,D,"32,027",+++
63,"Monday, Jun 12",boxscore,TEX,@,HOU,W,6,1,,31-32,2,12,Darvish,Musgrove,,3:23,N,"25,698",++++
64,"Tuesday, Jun 13",boxscore,TEX,@,HOU,W,4,2,,32-32,2,11,Leclerc,Gregerson,Bush,3:07,N,"27,615",+++++
65,"Wednesday, Jun 14",boxscore,TEX,@,HOU,L,2,13,,32-33,3,12,Martes,Cashner,,3:37,N,"37,221",-
66,"Friday, Jun 16",boxscore,TEX,,SEA,W,10,4,,33-33,2,11,Ross,Paxton,,3:07,N,"33,960",+
67,"Saturday, Jun 17",boxscore,TEX,,SEA,W,10,4,,34-33,2,11,Perez,Gallardo,,2:54,D,"35,928",++
68,"Sunday, Jun 18",boxscore,TEX,,SEA,L,3,7,,34-34,2,11,Bergman,Darvish,,3:43,D,"31,552",-
69,"Monday, Jun 19",boxscore,TEX,,TOR,L,6,7,,34-35,2,12,Beliveau,Bush,Osuna,3:48,N,"25,115",--
70,"Tuesday, Jun 20",boxscore,TEX,,TOR,W,6,1,,35-35,2,12,Martinez,Liriano,,3:06,N,"24,169",+
71,"Wednesday, Jun 21",boxscore,TEX,,TOR,L,5,7,,35-36,3,13,Biagini,Ross,Osuna,3:20,N,"28,376",-
