Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
43,"Wednesday, May 17",boxscore,LAA,,CHW,W,12,8,,22-21,2,8,Shoemaker,Gonzalez,,3:28,N,"33,234",++++
44,"Friday, May 19",boxscore,LAA,@,NYM,L,0,3,,22-22,3,8,deGrom,Nolasco,Reed,2:53,N,"36,542",-
45,"Saturday, May 20",boxscore,LAA,@,NYM,L,5,7,,22-23,3,8,Wheeler,Meyer,Reed,3:37,N,"37,264",--
46,"Sunday, May 21",boxscore,LAA,@,NYM,W,12,5,,23-23,3,7,Chavez,Milone,,3:17,D,"39,501",+
47,"Monday, May 22",boxscore,LAA,@,TBR,W,3,2,,24-23,3,7,Ramirez,Diaz,Norris,3:37,N,"12,249",++
48,"Tuesday, May 23",boxscore,LAA,@,TBR,W,4,0,,25-23,2,7,Shoemaker,Cobb,,2:56,N,"9,014",+++
49,"Wednesday, May 24",boxscore,LAA,@,TBR,L,2,5,,25-24,2,7,Ramirez,Nolasco,Colome,2:52,N,"9,975",-
50,"Thursday, May 25",boxscore,LAA,@,TBR,L,0,4,,25-25,2,8,Andriese,Wright,,3:04,D,"9,459",--
51,"Friday, May 26",boxscore,LAA,@,MIA,L,5,8,,25-26,2,9,Straily,Chavez,Ramos,3:13,N,"18,346",---
52,"Saturday, May 27",boxscore,LAA,@,MIA,W,5,2,,26-26,2,9,Ramirez,Worley,,3:03,D,"19,366",+
53,"Sunday, May 28",boxscore,LAA,@,MIA,L,2,9,,26-27,2,10,Urena,Shoemaker,,3:28,D,"20,444",-
54,"Monday, May 29",boxscore,LAA,,ATL,L,3,6,,26-28,2,11,Teheran,Nolasco,Johnson,2:50,N,"38,251",--
55,"Tuesday, May 30",boxscore,LAA,,ATL,W,9,3,,27-28,2,11,Bridwell,Colon,,2:47,N,"32,028",+
56,"Wednesday, May 31",boxscore,LAA,,ATL,W,2,1,,28-28,2,11,Parker,Vizcaino,Norris,2:49,N,"35,795",++
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
57,"Thursday, Jun 1",boxscore,LAA,,MIN,L,2,4,,28-29,2,11.5,Rogers,Alvarez,Kintzler,3:19,N,"33,426",-
58,"Friday, Jun 2",boxscore,LAA,,MIN,L,5,11,,28-30,2,12.5,Gibson,Ramirez,,3:19,N,"39,042",--
59,"Saturday, Jun 3",boxscore,LAA,,MIN,W,7,2,,29-30,2,12.5,Shoemaker,Santana,,3:18,N,"40,236",+
60,"Sunday, Jun 4",boxscore,LAA,,MIN,L,2,3,,29-31,2,13.5,Berrios,Nolasco,Kintzler,3:13,D,"39,701",-
61,"Tuesday, Jun 6",boxscore,LAA,@,DET,W,5,3,,30-31,2,13,Chavez,Norris,Norris,3:14,N,"24,175",+
62,"Wednesday, Jun 7",boxscore,LAA,@,DET,L,0,4,,30-32,3,13,Farmer,Meyer,,2:58,N,"24,958",-
63,"Thursday, Jun 8",boxscore,LAA,@,DET,W,11,4,,31-32,2,13,Ramirez,Fulmer,,3:24,D,"34,810",+
64,"Friday, Jun 9",boxscore,LAA,@,HOU,W,9,4,,32-32,2,12,Shoemaker,Peacock,,3:20,N,"40,786",++
65,"Saturday, Jun 10",boxscore,LAA,@,HOU,L,1,3,,32-33,2,13,Fiers,Nolasco,Giles,2:52,D,"41,296",-
66,"Sunday, Jun 11",boxscore,LAA,@,HOU,W,12,6,,33-33,2,12,Middleton,Feliz,,3:39,D,"32,425",+
67,"Monday, Jun 12",boxscore,LAA,,NYY,L,3,5,,33-34,2,12,Clippard,Alvarez,Betances,3:40,N,"36,245",-
68,"Tuesday, Jun 13",boxscore,LAA,,NYY,W-wo,3,2,11,34-34,2,11,Middleton,Shreve,,4:14,N,"33,159",+
69,"Wednesday, Jun 14",boxscore,LAA,,NYY,W,7,5,,35-34,2,11,Parker,Herrera,Hernandez,3:23,N,"43,851",++
70,"Thursday, Jun 15",boxscore,LAA,,KCR,L,2,7,,35-35,2,11.5,Strahm,Nolasco,,2:48,N,"34,884",-
71,"Friday, Jun 16",boxscore,LAA,,KCR,L,1,3,,35-36,3,11.5,Kennedy,Chavez,Herrera,2:38,N,"34,184",--
72,"Saturday, Jun 17",boxscore,LAA,,KCR,W,9,0,,36-36,3,11.5,Meyer,Junis,,2:51,N,"41,209",+
73,"Sunday, Jun 18",boxscore,LAA,,KCR,L,3,7,,36-37,3,11.5,Vargas,Ramirez,Herrera,3:28,D,"40,178",-
74,"Tuesday, Jun 20",boxscore,LAA,@,NYY,W,8,3,,37-37,2,12,Parker,Clippard,,3:26,N,"39,853",+
75,"Wednesday, Jun 21",boxscore,LAA,@,NYY,L,4,8,,37-38,3,13,Montgomery,Nolasco,,3:14,N,"39,911",-
76,"Thursday, Jun 22",boxscore,LAA,@,NYY,W,10,5,,38-38,3,13,Petit,Severino,,3:24,N,"43,051",+
77,"Friday, Jun 23",boxscore,LAA,@,BOS,L,4,9,,38-39,3,13,Porcello,Meyer,,3:07,N,"37,034",-
78,"Saturday, Jun 24",boxscore,LAA,@,BOS,W,6,3,,39-39,3,13,Ramirez,Price,Parker,3:34,N,"36,868",+
79,"Sunday, Jun 25",boxscore,LAA,@,BOS,W,4,2,,40-39,2,13,Bridwell,Fister,Petit,2:50,D,"36,474",++
80,"Monday, Jun 26",boxscore,LAA,@,LAD,W,4,0,,41-39,2,12.5,Nolasco,Hill,,2:53,N,"43,126",+++
81,"Tuesday, Jun 27",boxscore,LAA,@,LAD,L,0,4,,41-40,2,12.5,Maeda,Chavez,,2:30,N,"47,245",-
82,"Wednesday, Jun 28",boxscore,LAA,,LAD,W-wo,3,2,,42-40,2,12.5,Bedrosian,Baez,,3:11,N,"44,669",+
83,"Thursday, Jun 29",boxscore,LAA,,LAD,L,2,6,,42-41,2,13.5,Kershaw,Ramirez,Jansen,3:06,N,"44,807",-
84,"Friday, Jun 30",boxscore,LAA,,SEA,L,0,10,,42-42,2,13.5,Miranda,Bridwell,,2:45,N,"40,059",--
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
85,"Saturday, Jul 1",boxscore,LAA,,SEA,W,4,0,,43-42,2,13.5,Nolasco,Gaviglio,,2:32,N,"44,644",+
