Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
80,"Friday, Jun 30",boxscore,WSN,@,STL,L,1,8,,47-33,1,up 8.5,Leake,Roark,,2:54,N,"41,398",--
Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
81,"Saturday, Jul 1",boxscore,WSN,@,STL,L,1,2,,47-34,1,up 7.5,Wacha,Gonzalez,Bowman,2:53,N,"43,614",---
82,"Sunday, Jul 2",boxscore,WSN,@,STL,W,7,2,,48-34,1,up 7.5,Scherzer,Martinez,,2:57,N,"43,640",+
83,"Monday, Jul 3",boxscore,WSN,,NYM,W-wo,3,2,,49-34,1,up 8.0,Albers,Sewald,,3:18,N,"41,681",++
84,"Tuesday, Jul 4",boxscore,WSN,,NYM,W,11,4,,50-34,1,up 9.0,Ross,Lugo,,3:17,D,"37,120",+++
85,"Thursday, Jul 6",boxscore,WSN,,ATL,L,2,5,,50-35,1,up 8.5,Foltynewicz,Gonzalez,Johnson,3:10,N,"22,724",-
86,"Friday, Jul 7",boxscore,WSN,,ATL,W-wo,5,4,10,51-35,1,up 9.5,Albers,Krol,,3:28,N,"32,664",+
87,"Saturday, Jul 8",boxscore,WSN,,ATL,L,0,13,,51-36,1,up 8.5,Teheran,Strasburg,,3:12,D,"38,439",-
88,"Sunday, Jul 9",boxscore,WSN,,ATL,W,10,5,,52-36,1,up 9.5,Grace,Newcomb,,3:32,D,"35,030",+
89,"Friday, Jul 14",boxscore,WSN,@,CIN,W,5,0,,53-36,1,up 9.5,Gonzalez,Adleman,Grace,2:55,N,"28,916",++
90,"Saturday, Jul 15",boxscore,WSN,@,CIN,W,10,7,,54-36,1,up 9.5,Scherzer,Castillo,Grace,3:32,N,"36,462",+++
91,"Sunday, Jul 16",boxscore,WSN,@,CIN,W,14,4,,55-36,1,up 9.5,Roark,Bailey,,3:31,D,"25,712",++++
92,"Monday, Jul 17",boxscore,WSN,@,CIN,W,6,1,,56-36,1,up10.5,Strasburg,Feldman,,2:58,D,"17,574",+++++
93,"Tuesday, Jul 18",boxscore,WSN,@,LAA,W,4,3,,57-36,1,up11.5,Jackson,Bedrosian,Doolittle,2:57,N,"43,345",++++++
94,"Wednesday, Jul 19",boxscore,WSN,@,LAA,L,0,7,,57-37,1,up11.5,Meyer,Gonzalez,,2:47,N,"41,065",-
95,"Friday, Jul 21",boxscore,WSN,@,ARI,L-wo,5,6,,57-38,1,up10.0,Rodney,Romero,,3:23,N,"37,858",--
96,"Saturday, Jul 22",boxscore,WSN,@,ARI,W,4,3,,58-38,1,up11.0,Roark,Banda,Doolittle,2:56,N,"39,176",+
97,"Sunday, Jul 23",boxscore,WSN,@,ARI,W,6,2,,59-38,1,up12.0,Blanton,Ray,,3:39,D,"32,720",++
98,"Tuesday, Jul 25",boxscore,WSN,,MIL,L,0,8,,59-39,1,up11.5,Davies,Jackson,,3:05,N,"28,428",-
99,"Wednesday, Jul 26",boxscore,WSN,,MIL,W,8,5,,60-39,1,up12.5,Madson,Barnes,,2:58,N,"35,296",+
100,"Thursday, Jul 27",boxscore,WSN,,MIL,W,15,2,,61-39,1,up13.0,Scherzer,Blazek,,3:14,D,"32,118",++
101,"Saturday, Jul 29",boxscore,WSN,,COL,L,2,4,,61-40,1,up12.5,Marquez,Roark,Holland,2:49,N,"33,989",-
102,"Sunday, Jul 30 (1)",boxscore,WSN,,COL,L,6,10,,61-41,1,up13.0,Freeland,Fedde,Holland,3:48,D,"33,248",--
103,"Sunday, Jul 30 (2)",boxscore,WSN,,COL,W,3,1,,62-41,1,up13.0,Jackson,Gray,Doolittle,2:31,N,"32,118",+
104,"Monday, Jul 31",boxscore,WSN,@,MIA,W,1,0,,63-41,1,up14.0,Gonzalez,Urena,Doolittle,2:12,N,"18,962",++
Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
105,"Tuesday, Aug 1",boxscore,WSN,@,MIA,L,6,7,,63-42,1,up13.0,McGowan,Albers,Ziegler,3:05,N,"17,742",-
106,"Wednesday, Aug 2",boxscore,WSN,@,MIA,L,0,7,,63-43,1,up12.0,Worley,Cole,,2:54,N,"17,890",--
107,"Friday, Aug 4",boxscore,WSN,@,CHC,W,4,2,,64-43,1,up13.0,Roark,Hendricks,Doolittle,2:43,D,"41,396",+
108,"Saturday, Aug 5",boxscore,WSN,@,CHC,L,4,7,,64-44,1,up13.0,Lackey,Jackson,Davis,3:31,D,"41,857",-
109,"Sunday, Aug 6",boxscore,WSN,@,CHC,W,9,4,,65-44,1,up13.0,Kintzler,Edwards,,3:06,D,"41,047",+
110,"Monday, Aug 7",boxscore,WSN,,MIA,W,3,2,,66-44,1,up14.0,Kintzler,Garcia,Doolittle,2:58,N,"21,799",++
111,"Tuesday, Aug 8",boxscore,WSN,,MIA,L,3,7,,66-45,1,up13.0,Worley,Cole,,3:07,N,"25,406",-
112,"Wednesday, Aug 9",boxscore,WSN,,MIA,W,10,1,,67-45,1,up14.0,Gonzalez,Conley,,3:02,N,"25,951",+
113,"Thursday, Aug 10",boxscore,WSN,,MIA,W,3,2,,68-45,1,up15.0,Madson,Tazawa,Doolittle,2:51,N,"23,904",++
114,"Saturday, Aug 12",boxscore,WSN,,SFG,W,3,1,,69-45,1,up14.5,Jackson,Samardzija,Doolittle,3:11,N,"32,344",+++
115,"Sunday, Aug 13 (1)",boxscore,WSN,,SFG,L,2,4,,69-46,1,up14.0,Stratton,Cole,Dyson,3:09,D,"30,866",-
116,"Sunday, Aug 13 (2)",boxscore,WSN,,SFG,W-wo,6,2,11,70-46,1,up14.0,Albers,Suarez,,3:31,N,"29,085",+
117,"Tuesday, Aug 15",boxscore,WSN,,LAA,W,3,1,,71-46,1,up14.5,Gonzalez,Skaggs,Doolittle,2:36,N,"32,355",++
118,"Wednesday, Aug 16",boxscore,WSN,,LAA,L,2,3,,71-47,1,up13.5,Nolasco,Roark,Bedrosian,2:51,D,"30,307",-
119,"Thursday, Aug 17",boxscore,WSN,@,SDP,W,2,1,,72-47,1,up14.0,Jackson,Yates,Doolittle,3:01,N,"22,097",+
120,"Friday, Aug 18",boxscore,WSN,@,SDP,W,7,1,,73-47,1,up14.0,Blanton,Perdomo,,2:48,N,"26,747",++
121,"Saturday, Aug 19",boxscore,WSN,@,SDP,L,1,3,,73-48,1,up14.0,Wood,Strasburg,Hand,2:47,N,"31,590",-
122,"Sunday, Aug 20",boxscore,WSN,@,SDP,W,4,1,,74-48,1,up14.0,Gonzalez,Lamet,Doolittle,3:23,D,"29,292",+
123,"Tuesday, Aug 22",boxscore,WSN,@,HOU,W,4,3,,75-48,1,up13.5,Roark,Morton,Doolittle,3:05,N,"23,798",++
