Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
44,"Tuesday, May 23",boxscore,CHC,,SFG,W,4,1,,23-21,2,1.5,Lester,Cueto,,2:05,N,"32,905",+
45,"Wednesday, May 24",boxscore,CHC,,SFG,W,5,4,,24-21,2,0.5,Hendricks,Moore,Davis,3:05,N,"35,617",++
46,"Thursday, May 25",boxscore,CHC,,SFG,W,5,1,,25-21,1,up 0.5,Butler,Samardzija,Montgomery,2:33,D,"37,513",+++
47,"Friday, May 26",boxscore,CHC,@,LAD,L,0,4,,25-22,1,up 0.5,Wood,Arrieta,,2:49,N,"45,017",-
48,"Saturday, May 27",boxscore,CHC,@,LAD,L,0,5,,25-23,2,0.5,McCarthy,Lackey,Stripling,2:41,D,"48,322",--
49,"Sunday, May 28",boxscore,CHC,@,LAD,L,4,9,,25-24,2,1.5,Fields,Lester,,3:28,D,"47,732",---
50,"Monday, May 29",boxscore,CHC,@,SDP,L,2,5,,25-25,2,1.5,Torres,Hendricks,Maurer,2:59,D,"41,414",----
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
51,"Tuesday, May 30",boxscore,CHC,@,SDP,L,2,6,,25-26,2,1.5,Lamet,Butler,,2:52,N,"33,232",-----
52,"Wednesday, May 31",boxscore,CHC,@,SDP,L,1,2,,25-27,3,2.5,Hand,Uehara,Maurer,2:25,D,"23,995",------
53,"Friday, Jun 2",boxscore,CHC,,STL,W,3,2,,26-27,3,2,Strop,Rosenthal,Davis,2:47,D,"41,051",+
54,"Saturday, Jun 3",boxscore,CHC,,STL,W,5,3,,27-27,2,1,Rondon,Leake,Davis,2:35,D,"41,164",++
55,"Sunday, Jun 4",boxscore,CHC,,STL,W,7,6,,28-27,2,1,Strop,Bowman,Uehara,3:00,N,"39,868",+++
56,"Monday, Jun 5",boxscore,CHC,,MIA,W,3,1,,29-27,1,Tied,Butler,Straily,Montgomery,2:16,N,"34,037",++++
57,"Tuesday, Jun 6",boxscore,CHC,,MIA,W,10,2,,30-27,1,Tied,Arrieta,Locke,,3:01,N,"34,082",+++++
58,"Wednesday, Jun 7",boxscore,CHC,,MIA,L,5,6,,30-28,2,1,Urena,Lackey,Ramos,3:06,N,"37,294",-
59,"Thursday, Jun 8",boxscore,CHC,,COL,L,1,4,,30-29,2,1,Chatwood,Lester,Holland,2:44,N,"39,385",--
60,"Friday, Jun 9",boxscore,CHC,,COL,L,3,5,,30-30,2,2,Rusin,Frankoff,Holland,3:42,D,"41,229",---
61,"Saturday, Jun 10",boxscore,CHC,,COL,L,1,9,,30-31,2,2,Hoffman,Butler,,3:09,D,"41,226",----
62,"Sunday, Jun 11",boxscore,CHC,,COL,W,7,5,,31-31,2,1,Edwards,Lyles,Davis,3:20,D,"41,116",+
63,"Monday, Jun 12",boxscore,CHC,@,NYM,L,1,6,,31-32,2,1.5,deGrom,Lackey,,2:23,N,"33,268",-
64,"Tuesday, Jun 13",boxscore,CHC,@,NYM,W,14,3,,32-32,2,1,Lester,Wheeler,,3:07,N,"32,651",+
65,"Wednesday, Jun 14",boxscore,CHC,@,NYM,L,4,9,,32-33,2,2,Blevins,Edwards,,3:02,N,"34,566",-
66,"Friday, Jun 16",boxscore,CHC,@,PIT,W,9,5,,33-33,2,2.5,Uehara,Nicasio,,3:31,N,"25,420",+
67,"Saturday, Jun 17",boxscore,CHC,@,PIT,L,3,4,,33-34,2,2.5,Nova,Arrieta,Rivero,2:54,N,"34,383",-
68,"Sunday, Jun 18",boxscore,CHC,@,PIT,W,7,1,,34-34,2,2.5,Lackey,Taillon,,2:48,D,"34,539",+
