Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
43,"Monday, May 22",boxscore,BAL,,MIN,L,7,14,,25-18,2,1.5,Gibson,Wilson,,3:31,N,"12,882",--
44,"Tuesday, May 23",boxscore,BAL,,MIN,L,0,2,,25-19,2,1.5,Santana,Bundy,,2:23,N,"13,294",---
45,"Wednesday, May 24",boxscore,BAL,,MIN,L,3,4,,25-20,2,2.5,Berrios,Tillman,Kintzler,3:00,D,"32,267",----
46,"Friday, May 26",boxscore,BAL,@,HOU,L,0,2,,25-21,3,2.5,Musgrove,Gausman,Giles,2:31,N,"31,380",-----
47,"Saturday, May 27",boxscore,BAL,@,HOU,L,2,5,,25-22,3,3.5,Keuchel,Miley,Harris,2:56,N,"32,761",------
48,"Sunday, May 28",boxscore,BAL,@,HOU,L,4,8,,25-23,3,4.5,McCullers,Asher,,2:58,D,"34,720",-------
49,"Monday, May 29",boxscore,BAL,,NYY,W,3,2,,26-23,3,3.5,Bundy,Montgomery,Brach,2:54,D,"40,242",+
50,"Tuesday, May 30",boxscore,BAL,,NYY,L,3,8,,26-24,3,4.5,Severino,Tillman,,3:19,N,"16,126",-
51,"Wednesday, May 31",boxscore,BAL,,NYY,W,10,4,,27-24,3,3.5,Gausman,Tanaka,,3:18,N,"22,983",+
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
52,"Thursday, Jun 1",boxscore,BAL,,BOS,W,7,5,,28-24,3,3.5,Miley,Rodriguez,,2:38,N,"20,150",++
53,"Friday, Jun 2",boxscore,BAL,,BOS,W,3,2,,29-24,2,2.5,Asher,Porcello,Brach,2:59,N,"33,193",+++
54,"Saturday, Jun 3",boxscore,BAL,,BOS,L,2,5,,29-25,3,3.5,Price,Bundy,Kimbrel,3:22,N,"35,470",-
55,"Sunday, Jun 4",boxscore,BAL,,BOS,L,3,7,,29-26,3,3.5,Sale,Tillman,,3:06,D,"31,819",--
